SKU,MRP,SELLING PRICE,TRANSFER PRICE,TYPE,NAME,DESCRIPTION,KEYFEATURE,HSN,MAIN IMAGE URL,URL1,URL2,URL3,URL4,URL5,GROUP ID,DISCOUNT %,Rate Without Tax,New Selling Price,Total Discount,Disc%,Color,Size
D3190WHITE_M,1599,599,380,SINGLE KURTI,pure cotton straight kurta for women and girls.,"""Aadhara""  we presents a heavy pure cotton straight kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/qu7j99uvlfs7wp3/S-3190-White%20%282%29.JPG?dl=0,https://www.dropbox.com/s/qofbedyyamb3aax/S-3190-White%20%281%29.JPG?dl=0,https://www.dropbox.com/s/d44mjq2busajs0y/S-3190-White%20%283%29.JPG?dl=0,https://www.dropbox.com/s/p4u3o89i2iu9st8/S-3190-White%20%286%29.JPG?dl=0,https://www.dropbox.com/s/pjsjl2wxtlkj41l/S-3190-White%20%284%29.JPG?dl=0,https://www.dropbox.com/s/zuu9z9v117c919w/S-3190-White%20%285%29.JPG?dl=0,D3190,5%,1427.678571,570.4761905,857.202381,60.04169272,White,M
D3190WHITE_L,1599,599,380,SINGLE KURTI,pure cotton straight kurta for women and girls.,"""Aadhara""  we presents a heavy pure cotton straight kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/qu7j99uvlfs7wp3/S-3190-White%20%282%29.JPG?dl=0,https://www.dropbox.com/s/qofbedyyamb3aax/S-3190-White%20%281%29.JPG?dl=0,https://www.dropbox.com/s/d44mjq2busajs0y/S-3190-White%20%283%29.JPG?dl=0,https://www.dropbox.com/s/p4u3o89i2iu9st8/S-3190-White%20%286%29.JPG?dl=0,https://www.dropbox.com/s/pjsjl2wxtlkj41l/S-3190-White%20%284%29.JPG?dl=0,https://www.dropbox.com/s/zuu9z9v117c919w/S-3190-White%20%285%29.JPG?dl=0,D3190,5%,1427.678571,570.4761905,857.202381,60.04169272,White,L
D3190WHITE_XL,1599,599,380,SINGLE KURTI,pure cotton straight kurta for women and girls.,"""Aadhara""  we presents a heavy pure cotton straight kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/qu7j99uvlfs7wp3/S-3190-White%20%282%29.JPG?dl=0,https://www.dropbox.com/s/qofbedyyamb3aax/S-3190-White%20%281%29.JPG?dl=0,https://www.dropbox.com/s/d44mjq2busajs0y/S-3190-White%20%283%29.JPG?dl=0,https://www.dropbox.com/s/p4u3o89i2iu9st8/S-3190-White%20%286%29.JPG?dl=0,https://www.dropbox.com/s/pjsjl2wxtlkj41l/S-3190-White%20%284%29.JPG?dl=0,https://www.dropbox.com/s/zuu9z9v117c919w/S-3190-White%20%285%29.JPG?dl=0,D3190,5%,1427.678571,570.4761905,857.202381,60.04169272,White,XL
D3190WHITE_XXL,1599,599,380,SINGLE KURTI,pure cotton straight kurta for women and girls.,"""Aadhara""  we presents a heavy pure cotton straight kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/qu7j99uvlfs7wp3/S-3190-White%20%282%29.JPG?dl=0,https://www.dropbox.com/s/qofbedyyamb3aax/S-3190-White%20%281%29.JPG?dl=0,https://www.dropbox.com/s/d44mjq2busajs0y/S-3190-White%20%283%29.JPG?dl=0,https://www.dropbox.com/s/p4u3o89i2iu9st8/S-3190-White%20%286%29.JPG?dl=0,https://www.dropbox.com/s/pjsjl2wxtlkj41l/S-3190-White%20%284%29.JPG?dl=0,https://www.dropbox.com/s/zuu9z9v117c919w/S-3190-White%20%285%29.JPG?dl=0,D3190,5%,1427.678571,570.4761905,857.202381,60.04169272,White,XXL
D3312MUSTERED_M,1699,599,399,SINGLE KURTI,rayon embroidred assymetric kurti for women and girls.,"""Aadhara"" we presents a heavy rayon embroidered long assymetric kurta, sleeves length 3/4th bell sleeves. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/joij4efz63mvh2k/AKT35893.JPG?dl=0,https://www.dropbox.com/s/v9uyoktjou0x9u2/AKT35892.JPG?dl=0,https://www.dropbox.com/s/piy33rqyj5g9ki7/AKT35894.JPG?dl=0,https://www.dropbox.com/s/3cwerdhjar7ebn6/AKT35899.JPG?dl=0,https://www.dropbox.com/s/koyfk25tfgtxo4y/AKT35897.JPG?dl=0,,D3312,5%,1516.964286,570.4761905,946.4880952,62.39356484,Mustard,M
D3312MUSTERED_L,1699,599,399,SINGLE KURTI,rayon embroidred assymetric kurti for women and girls.,"""Aadhara"" we presents a heavy rayon embroidered long assymetric kurta, sleeves length 3/4th bell sleeves. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/joij4efz63mvh2k/AKT35893.JPG?dl=0,https://www.dropbox.com/s/v9uyoktjou0x9u2/AKT35892.JPG?dl=0,https://www.dropbox.com/s/piy33rqyj5g9ki7/AKT35894.JPG?dl=0,https://www.dropbox.com/s/3cwerdhjar7ebn6/AKT35899.JPG?dl=0,https://www.dropbox.com/s/koyfk25tfgtxo4y/AKT35897.JPG?dl=0,,D3312,5%,1516.964286,570.4761905,946.4880952,62.39356484,Mustard,L
D3312MUSTERED_XL,1699,599,399,SINGLE KURTI,rayon embroidred assymetric kurti for women and girls.,"""Aadhara"" we presents a heavy rayon embroidered long assymetric kurta, sleeves length 3/4th bell sleeves. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/joij4efz63mvh2k/AKT35893.JPG?dl=0,https://www.dropbox.com/s/v9uyoktjou0x9u2/AKT35892.JPG?dl=0,https://www.dropbox.com/s/piy33rqyj5g9ki7/AKT35894.JPG?dl=0,https://www.dropbox.com/s/3cwerdhjar7ebn6/AKT35899.JPG?dl=0,https://www.dropbox.com/s/koyfk25tfgtxo4y/AKT35897.JPG?dl=0,,D3312,5%,1516.964286,570.4761905,946.4880952,62.39356484,Mustard,XL
D3312MUSTERED_XXL,1699,599,399,SINGLE KURTI,rayon embroidred assymetric kurti for women and girls.,"""Aadhara"" we presents a heavy rayon embroidered long assymetric kurta, sleeves length 3/4th bell sleeves. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/joij4efz63mvh2k/AKT35893.JPG?dl=0,https://www.dropbox.com/s/v9uyoktjou0x9u2/AKT35892.JPG?dl=0,https://www.dropbox.com/s/piy33rqyj5g9ki7/AKT35894.JPG?dl=0,https://www.dropbox.com/s/3cwerdhjar7ebn6/AKT35899.JPG?dl=0,https://www.dropbox.com/s/koyfk25tfgtxo4y/AKT35897.JPG?dl=0,,D3312,5%,1516.964286,570.4761905,946.4880952,62.39356484,Mustard,XXL
D3312RAMA_M,1699,599,399,SINGLE KURTI,rayon embroidred assymetric kurti for women and girls.,"""Aadhara"" we presents a heavy rayon embroidered long assymetric kurta, sleeves length 3/4th bell sleeves. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/d2epvdwwgjohpfe/AKT35886.JPG?dl=0,https://www.dropbox.com/s/k6oempyf85zzdm7/AKT35885.JPG?dl=0,https://www.dropbox.com/s/pvbhv4m1394zlda/AKT35887.JPG?dl=0,https://www.dropbox.com/s/8bmgtwfzb15er6v/AKT35889.JPG?dl=0,https://www.dropbox.com/s/p6pow6wa9tc78ad/AKT35891.JPG?dl=0,https://www.dropbox.com/s/zg5poxknyw8yjp6/AKT35888.JPG?dl=0,D3312,5%,1516.964286,570.4761905,946.4880952,62.39356484,Rama,M
D3312RAMA_L,1699,599,399,SINGLE KURTI,rayon embroidred assymetric kurti for women and girls.,"""Aadhara"" we presents a heavy rayon embroidered long assymetric kurta, sleeves length 3/4th bell sleeves. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/d2epvdwwgjohpfe/AKT35886.JPG?dl=0,https://www.dropbox.com/s/k6oempyf85zzdm7/AKT35885.JPG?dl=0,https://www.dropbox.com/s/pvbhv4m1394zlda/AKT35887.JPG?dl=0,https://www.dropbox.com/s/8bmgtwfzb15er6v/AKT35889.JPG?dl=0,https://www.dropbox.com/s/p6pow6wa9tc78ad/AKT35891.JPG?dl=0,https://www.dropbox.com/s/zg5poxknyw8yjp6/AKT35888.JPG?dl=0,D3312,5%,1516.964286,570.4761905,946.4880952,62.39356484,Rama,L
D3312RAMA_XL,1699,599,399,SINGLE KURTI,rayon embroidred assymetric kurti for women and girls.,"""Aadhara"" we presents a heavy rayon embroidered long assymetric kurta, sleeves length 3/4th bell sleeves. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/d2epvdwwgjohpfe/AKT35886.JPG?dl=0,https://www.dropbox.com/s/k6oempyf85zzdm7/AKT35885.JPG?dl=0,https://www.dropbox.com/s/pvbhv4m1394zlda/AKT35887.JPG?dl=0,https://www.dropbox.com/s/8bmgtwfzb15er6v/AKT35889.JPG?dl=0,https://www.dropbox.com/s/p6pow6wa9tc78ad/AKT35891.JPG?dl=0,https://www.dropbox.com/s/zg5poxknyw8yjp6/AKT35888.JPG?dl=0,D3312,5%,1516.964286,570.4761905,946.4880952,62.39356484,Rama,XL
D3312RAMA_XXL,1699,599,399,SINGLE KURTI,rayon embroidred assymetric kurti for women and girls.,"""Aadhara"" we presents a heavy rayon embroidered long assymetric kurta, sleeves length 3/4th bell sleeves. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/d2epvdwwgjohpfe/AKT35886.JPG?dl=0,https://www.dropbox.com/s/k6oempyf85zzdm7/AKT35885.JPG?dl=0,https://www.dropbox.com/s/pvbhv4m1394zlda/AKT35887.JPG?dl=0,https://www.dropbox.com/s/8bmgtwfzb15er6v/AKT35889.JPG?dl=0,https://www.dropbox.com/s/p6pow6wa9tc78ad/AKT35891.JPG?dl=0,https://www.dropbox.com/s/zg5poxknyw8yjp6/AKT35888.JPG?dl=0,D3312,5%,1516.964286,570.4761905,946.4880952,62.39356484,Rama,XXL
